Candidate,Share Name,Amount
SHASHANK MANI (Winner),Bandhan Sterling Value Fund Regular Growth,"1,50,418"
SHASHANK MANI (Winner),Canara Robeco Flexi Cap Fund Growth,"1,37,747"
SHASHANK MANI (Winner),Canara Robeco Small Cap Fund Regular Growth,"1,48,626"
SHASHANK MANI (Winner),Kotak Equity Opportunities Fund Regular Growth,"1,51,467"
SHASHI THAROOR (Winner),Franklin India ELSS Tax Saver Fund (G),"6,98,106"
SHASHI THAROOR (Winner),Axis-ELSS Tax Saver Fund (G),"8,26,958"
SHASHI THAROOR (Winner),Axis ELSS Tax Saver Fund IDCW,"3,43,326"
SHASHI THAROOR (Winner),Franklin India Balanced Advantage Fund Reg (G),"7,57,115"
SHASHI THAROOR (Winner),Franklin-India ELSS Tax Saver Fund IDCW,"2,20,777"
SHASHI THAROOR (Winner),Franklin India Focused Equity fund (G),"14,01,945"
SHASHI THAROOR (Winner),Franklin India Feeder Frankli US Opp (G),"3,72,322"
SHASHI THAROOR (Winner),HDFC ELSS Tax Saver REg (G),"2,15,739"
SHASHI THAROOR (Winner),HDFC Credit Risk Debt Fund Reg (G),"15,78,489"
SHASHI THAROOR (Winner),HDFC Flexi Cap Fund Reg (G),"13,19,401"
SHASHI THAROOR (Winner),ICICI Pru-Multicap Fund,"14,00,540"
SHASHI THAROOR (Winner),ICICI Pru balanced Advantage Fund Reg (G),"13,41,298"
SHASHI THAROOR (Winner),Mirae Asset ELSS Tax Saver Fund REg (G),"1,95,525"
SHASHI THAROOR (Winner),Quant ELSS Tax Saver Fund (G),"1,47,801"
SHASHI THAROOR (Winner),HDFC Flexi Cap Fund Reg IDCW,"1,45,570"
SHASHI THAROOR (Winner),ICICI Pru- Pharma Health Care and Diagnostics Fund (G),"11,28,322"
SHASHI THAROOR (Winner),Kotak Flexi Cap Find Reg (G),"10,36,212"
SHASHI THAROOR (Winner),Edelweiss US Technology Equity Fund of Fund Reg (G),"4,55,743"
SHASHI THAROOR (Winner),Mirae Assets Large & Mid Cap Fund Reg (g),"11,32,376"
SHASHI THAROOR (Winner),SBI Multi Cap Fund Reg (G),"1,32,110"
SHASHI THAROOR (Winner),SBI Balanced Advantage Fund Reg (G),"7,55,286"
SHASHI THAROOR (Winner),JM Financial Protfolio Investment,"36,73,055"
SHASHI THAROOR (Winner),Investment with Estee Advisors,"1,23,30,987"
SHASHI THAROOR (Winner),Investments with RBI Bonds,"15,00,000"
SHASHI THAROOR (Winner),"Investments outside India , Investment in Equities","9,33,44,370"
SHASHI THAROOR (Winner),Investment in Corporate Bonds,"3,46,65,575"
SHASHI THAROOR (Winner),Investment in Certificate of Deposits,"91,70,218"
SHASHI THAROOR (Winner),Investment in option,"19,98,567"
SHASHI THAROOR (Winner),Investment in ETF Bitcoin,"5,11,314"
SHASHI THAROOR (Winner),Investment in US Treasury Security,"2,02,32,649"
SHASHI THAROOR (Winner),Loan to Estee Capital LLC USA,"1,10,69,540"
SHATRUGHAN PRASAD SINHA (Winner),"Axis Bank Mutual Fund,","86,72,500"
SHATRUGHAN PRASAD SINHA (Winner),Capital Investment in House of Creativity LLP,"1,27,999"
SHATRUGHAN PRASAD SINHA (Winner),Capital Investment in Kratos Entertainment LLP,"1,65,137"
SHATRUGHAN PRASAD SINHA (Winner),Capital Investment Shotgun Entertainment,"97,20,367"
SHATRUGHAN PRASAD SINHA (Winner),Capital in Shotgun Movies LLP,"40,424"
SHATRUGHAN PRASAD SINHA (Winner),Capital Investment in Shotgun Movies,"78,83,644"
SHATRUGHAN PRASAD SINHA (Winner),Capital in Soezi Beauty LLP,"24,35,389"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Kanti Heritage,"68,83,887"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Hotel Heritage pvt.ltd.,"28,68,500"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),HPHS Nobel Indevar pvt. ltd.,"40,000"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Shri Ramlal sheet grah,"1,86,14,450"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Punjigat labh bhand,"50,00,000"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Power Fin. Cooperation ltd.,"50,00,000"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Union ELSS Tax,"5,88,119"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Kanti heritage,"51,78,791"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Hotel Harshikhar Pvt. ltd.,"3,00,000"
SHIV PAL SINGH PATEL (DR. S P SINGH) (Winner),Garima Printers And publication,"4,14,97,872"
SHOBHANABEN MAHENDRASINH BARAIYA (Winner),Prantich Taluka Prathmik Sahkari Mandali,"12,500"
SHOBHANABEN MAHENDRASINH BARAIYA (Winner),Himmatnagar Nagrik Sahkari Bank,100
SHOBHANABEN MAHENDRASINH BARAIYA (Winner),Salal Nagrik Sahkari Bank,250
SHOBHANABEN MAHENDRASINH BARAIYA (Winner),Prantich Nagrik Sahkari Bank,100
SHOBHANABEN MAHENDRASINH BARAIYA (Winner),Sabarkantha Dist Sahkari Bank,510
SHOBHANABEN MAHENDRASINH BARAIYA (Winner),Fatepur Seva Sahkari Mandli,"1,000"
SHOBHANABEN MAHENDRASINH BARAIYA (Winner),Fatepur Dugdh Utpadan Sahkari Mandli,100
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE (Winner),JSB Shares,"7,300"
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE (Winner),KArad Urban Co Op Bank,"80,000"
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE (Winner),BF Investments Ltd,"3,57,760"
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE (Winner),Navee Infraage Private Limited,"50,000"
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE (Winner),Shouryapeeth and Gadkille PVt LTd,"5,000"
SHRIRANG APPA CHANDU BARNE (Winner),Santh Tukaram Sah Karkhana,"15,000"
SHRIRANG APPA CHANDU BARNE (Winner),Prerana Co-op Bank Ltd Thergaon,"2,000"
SHRIRANG APPA CHANDU BARNE (Winner),Pavana Co Bank Ltd,500
SHRIRANG APPA CHANDU BARNE (Winner),Shree Datta Nagari sah Patsanstha,100
SHRIRANG APPA CHANDU BARNE (Winner),Shree Vakyatesh Nagari Sah Patsanstha,500
SHRIRANG APPA CHANDU BARNE (Winner),Abhuday Sah Bank Ltd Pimpri,"30,500"
SHRIRANG APPA CHANDU BARNE (Winner),Bank Of Maharastra Thergaon,"6,500"
SHRIRANG APPA CHANDU BARNE (Winner),Baramati Sah Bank ltd,"1,25,000"
SHRIRANG APPA CHANDU BARNE (Winner),Santh Tukaram Sah Karkhana,"15,000"
SHRIRANG APPA CHANDU BARNE (Winner),Shree Datta Nagari sah Patsanstha,"1,000"
SHRIRANG APPA CHANDU BARNE (Winner),Shree Vakyatesh Nagari Sah Patsanstha,500
SHRIRANG APPA CHANDU BARNE (Winner),Abhuday Sah Bank Ltd Pimpri,"8,750"
SHRIRANG APPA CHANDU BARNE (Winner),Baramati Sah Bank ltd,"5,000"
SMITA UDAY WAGH (Winner),Ughami Mahila Nagari Pathsantha,100
SMITA UDAY WAGH (Winner),The East Khandeshi Co Op Bank,"5,327"
SMITA UDAY WAGH (Winner),"Jalgaon Janta Sah. Bank Ltd., Jalgaon","36,325"
SOUGATA RAY (Winner),"Amazing Varitea, SBI Lake Gardens, CC A/c","79,943"
SRIBHARAT MATHUKUMILI (Winner),Sideshwari Power Generation P Ltd,"2,80,00,000"
SRIBHARAT MATHUKUMILI (Winner),Bharat Jala Vidyut Nigam Ltd,"44,50,000"
SRIBHARAT MATHUKUMILI (Winner),Orissa Hydel Power Balimela Ltd,"50,00,000"
SRIBHARAT MATHUKUMILI (Winner),Orissa Hydel Power Jalaput Ltd,"45,00,000"
SRIBHARAT MATHUKUMILI (Winner),VBC Renewable Energy Pvt Ltd,"2,63,35,000"
SRIBHARAT MATHUKUMILI (Winner),VBC Glass Ltd,"10,000"
SRIBHARAT MATHUKUMILI (Winner),VBC Fertilizers & Chemicals Ltd,"5,00,000"
SRIBHARAT MATHUKUMILI (Winner),Karthik Rukmini Energy Ltd,"2,75,05,700"
SRIBHARAT MATHUKUMILI (Winner),Green Edge Properties,"96,11,900"
SRIBHARAT MATHUKUMILI (Winner),Bright Space Properties LLP,"10,000"
SRIBHARAT MATHUKUMILI (Winner),VBC Ferro Alloys Ltd,"7,00,000"
SRIBHARAT MATHUKUMILI (Winner),Shares in Med Win Hospital Pvt Ltd,"1,18,00,000"
SRIBHARAT MATHUKUMILI (Winner),NSE Shares,"90,00,000"
SRIBHARAT MATHUKUMILI (Winner),Legrand Producations LLP,"2,27,176"
SRIBHARAT MATHUKUMILI (Winner),Legrand Productions LLP,"50,000"
SRIBHARAT MATHUKUMILI (Winner),The Present perfect gifting,"25,000"
SRIBHARAT MATHUKUMILI (Winner),Reliance Power Ltd,"7,310"
SRIBHARAT MATHUKUMILI (Winner),Heritage Finlease Pvt Ltd,"3,08,73,944"
SUDHAKAR SINGH (Winner),Son Velley International Pvt Ltd,"1,20,15,600"
SUDHAKAR SINGH (Winner),Sonvelly Werehousing Pra.Ltd,"6,00,000"
SUDHAKAR SINGH (Winner),Dakshayni Infracity Pra. Ltd,"30,80,000"
SUDHAKAR SINGH (Winner),Son Velly Farmers & Producer . Ltd,"10,000"
SUDHAKAR SINGH (Winner),Son Velley International Pvt Ltd,"16,10,200"
SUDHEER GUPTA (Winner),Share Jio Finance Service at Tata Motors ITC Reliance Industries,"1,01,452"
SUKANTA MAJUMDAR (Winner),Market Value of Share,"24,123"
SUKANTA MAJUMDAR (Winner),SBI Mutual Fund,"2,03,093"
SUNIL KUMAR (Winner),Pranshi and Sanvi Facilities Pvt. Ltd.,"50,000"
SUPRIYA SULE (Winner),Bhishma Realty Ltd,10
SUPRIYA SULE (Winner),Twenty Five South Realty Ltd,10
SUPRIYA SULE (Winner),Laguna Developers Pvt Ltd,"3,10,100"
SUPRIYA SULE (Winner),CIti Development Corproation Partnership,"5,60,023"
SUPRIYA SULE (Winner),Quoted Shares,"9,99,77,836"
SUPRIYA SULE (Winner),Maybank Kim Eng (SGD) North Canal Rd Branch Singapore,"58,67,686"
SUPRIYA SULE (Winner),Bordier,"1,77,48,209"
SUPRIYA SULE (Winner),Aquila Intl Corby SW,"8,850"
SUPRIYA SULE (Winner),DBS Bank SGD Unit Trust MBFC Branch Singapore,"12,23,421"
SUPRIYA SULE (Winner),Templeton Asset Management Ltd (Sin),"19,98,105"
SURESH GOPI (Winner),JAC FERTILIZER,"7,95,000"
SURESH GOPI (Winner),DLS.P. Ltd,"40,29,600"
SURESH GOPINATH MHATRE ALIAS BALYA MAMA (Winner),Sumit Mhatre Infrastructure Pvt Ltd,"2,50,000"
SURESH GOPINATH MHATRE ALIAS BALYA MAMA (Winner),JKS Estate LLP,"10,09,00,000"
SURESH GOPINATH MHATRE ALIAS BALYA MAMA (Winner),Sai Raj Enterprises,"11,23,608"
SURESH GOPINATH MHATRE ALIAS BALYA MAMA (Winner),Sai Raj Logistics Hub,"5,000"
SURESH GOPINATH MHATRE ALIAS BALYA MAMA (Winner),Sairaj Maintenance,"76,735"
SURESH GOPINATH MHATRE ALIAS BALYA MAMA (Winner),Global Logistics Company Firm,"47,500"
SURESH GOPINATH MHATRE ALIAS BALYA MAMA (Winner),Sumit Mhare Group LLP,"10,000"
SURESH KUMAR SHETKAR (Winner),Prime Food Tech Pvt. Ltd.,"15,00,000"
SURESH KUMAR SHETKAR (Winner),Prime Food Tech Pvt. Ltd.,"5,00,000"
TANGELLA UDAY SRINIVAS (TEA TIME UDAY) (Winner),Trive Foods LLP,"1,65,000"
TANUJ PUNIA (Winner),UBI Patrakarpuram Gomati Nagar Lucknow FD,"1,15,100"
TANUJ PUNIA (Winner),MF-Axis Small Cap Fund,"87,351"
TANUJ PUNIA (Winner),Mf-PGIM India Midcap Opportunities Fund,"80,575"
TANUJ PUNIA (Winner),Miray Assents Larg & Midcap Fund,"78,920"
TANUJ PUNIA (Winner),Quant Infrastructure Fund,"27,861"
TANUJ PUNIA (Winner),ICICCI Prodential Technology Fund,"11,991"
TEJASVI SURYA (Winner),Made in shares-BSE lmt eq new,"20,82,400"
THANGA TAMILSELVAN (Winner),Shri Ram Chit Funds,"2,10,000"
UJJWAL RAMAN SINGH (Winner),Vikad Life Care Eq Current Value,"18,725"
UMMEDA RAM BENIWAL (Winner),Beniwal Construction Pvt. Ltd.,"44,00,000"
UMMEDA RAM BENIWAL (Winner),Akarti Craftas Pvt. Ltd.,"14,20,000"
UMMEDA RAM BENIWAL (Winner),Beniwal construction Pvt. Ltd.,"5,00,000"
UMMEDA RAM BENIWAL (Winner),Akarti Craftas Pvt. Ltd,"18,20,000"
VAMSI KRISHNA GADDAM (Winner),Svaroshni Pvt Ltd,"20,000"
VAMSI KRISHNA GADDAM (Winner),Karido Pvt Ltd,"99,990"
VAMSI KRISHNA GADDAM (Winner),V-Solar Roofings Pvt Ltd,"1,000"
VAMSI KRISHNA GADDAM (Winner),Visaka Industries Ltd,"7,02,38,210"
VAMSI KRISHNA GADDAM (Winner),Automobile Pvt Ltd,"4,01,60,000"
VAMSI KRISHNA GADDAM (Winner),Astson Engg Ltd,"3,11,400"
VAMSI KRISHNA GADDAM (Winner),JHS Svendgaar Retail Ventures Pvt Ltd,"10,500"
VAMSI KRISHNA GADDAM (Winner),Coal India Ltd,"12,06,179"
VAMSI KRISHNA GADDAM (Winner),Tata Power Ltd,"18,50,003"
VAMSI KRISHNA GADDAM (Winner),Atum Batteries Pvt Ltd,"99,000"
VAMSI KRISHNA GADDAM (Winner),Svaroshni Pvt Ltd,"80,000"
VASANTRAO BALWANTRAO CHAVAN (Winner),"Shares Of Vividha Karyakari Co-Operative Seva Sahakari SOciety, Naigaon","4,360"
VEENA DEVI (Winner),Shares of Shubham Komal Pvt. Ltd.,"50,000"
VEENA DEVI (Winner),Shares of Bharat Orja Dist. ;Pvt. Ltd.,"2,00,00,000"
VEENA DEVI (Winner),Investment in Hotel Minakshi International Firm (as Pratner),"67,250"
VEENA DEVI (Winner),Shares of Shubahm Komal Pvt. Ltd.,"50,000"
VEENA DEVI (Winner),Shares of Baharat Orja Dist. Pvt. Ltd.,"1,85,00,000"
VIJAY BAGHEL (Winner),SBI Mutual Fund SIP,"5,40,000"
VIJAY BAGHEL (Winner),SBI Mutual Fund SIP,"1,39,000"
VIJAY KUMAR HANSDAK (Winner),RTL SD,"23,50,000"
VIJAY KUMAR HANSDAK (Winner),Adv,"1,55,157"
VISHNU DATT SHARMA (V.D.SHARMA) (Winner),SBI Mutual Fund,"1,50,000"
VISHNU DAYAL RAM (Winner),Mutual Fund Investemnt,"18,91,000"
VISHNU DAYAL RAM (Winner),Mutual Fund Investment,"7,67,400"
VISHNU DAYAL RAM (Winner),Mutual Fund Investment,"20,04,066"
VIVEK THAKUR (Winner),Adani Power Value,"25,742"
VIVEK THAKUR (Winner),HDFC Bank,"35,776"
VIVEK THAKUR (Winner),NHPC Ltd.,"16,570"
VIVEK THAKUR (Winner),Hind Aeronautics,"56,629"
VIVEK THAKUR (Winner),NMDC,"10,290"
VIVEK THAKUR (Winner),SBI,"29,450"
VIVEK THAKUR (Winner),LIC,"67,618"
VIVEK THAKUR (Winner),TCS,"1,82,661"
VIVEK THAKUR (Winner),Hindustan Unilver ltd.,"11,211"
VIVEK THAKUR (Winner),HSBC Focused Fund Growth,"45,814"
VIVEK THAKUR (Winner),Axis Growth Opportunities,"5,604"
VIVEK THAKUR (Winner),Axis Midcap Fund Growth,"2,10,392"
VIVEK THAKUR (Winner),Kotak Mutlicap Fund Growth,"1,55,566"
VIVEK THAKUR (Winner),Axis Small Cap Growth,"6,092"
VIVEK THAKUR (Winner),Jio Financial,"16,875"
VIVEK THAKUR (Winner),State Bank of India,"36,812"
VIVEK THAKUR (Winner),LTI Mindtree,"15,303"
VIVEK THAKUR (Winner),Mrs Bectors,"22,166"
VIVEK THAKUR (Winner),Natco Pharma,"17,100"
VIVEK THAKUR (Winner),HSBC Focused fund,"11,812"
VIVEK THAKUR (Winner),Kotak Multicap fund,"1,55,722"
VIVEK THAKUR (Winner),Axis small Cap fund,"3,72,265"
